hour,counter,createdAt,updatedAt
00:00:00,39,"2018-06-04 00:00:21","2018-06-04 00:58:51"
01:00:00,39,"2018-06-04 01:00:21","2018-06-04 01:58:51"
02:00:00,60,"2018-06-03 02:26:01","2018-06-04 02:58:51"
03:00:00,101,"2018-06-03 03:04:28","2018-06-04 03:59:21"
04:00:00,39,"2018-06-04 04:00:51","2018-06-04 04:59:22"
05:00:00,39,"2018-06-04 05:00:52","2018-06-04 05:59:22"
06:00:00,39,"2018-06-04 06:00:52","2018-06-04 06:59:22"
07:00:00,39,"2018-06-04 07:00:52","2018-06-04 07:59:22"
08:00:00,39,"2018-06-04 08:00:52","2018-06-04 08:59:22"
09:00:00,39,"2018-06-04 09:00:52","2018-06-04 09:59:22"
10:00:00,39,"2018-06-04 10:00:52","2018-06-04 10:59:23"
11:00:00,76,"2018-06-03 11:03:25","2018-06-04 11:59:23"
12:00:00,79,"2018-06-03 12:01:01","2018-06-04 12:59:23"
13:00:00,79,"2018-06-03 13:01:01","2018-06-04 13:59:23"
14:00:00,79,"2018-06-03 14:01:02","2018-06-04 14:59:23"
15:00:00,79,"2018-06-03 15:01:02","2018-06-04 15:59:24"
16:00:00,75,"2018-06-03 16:01:03","2018-06-04 16:59:12"
17:00:00,63,"2018-06-03 17:01:03","2018-06-04 17:52:19"
18:00:00,54,"2018-06-03 18:01:06","2018-06-04 18:58:21"
19:00:00,1002,"2018-06-03 00:46:23","2018-06-04 19:08:17"
20:00:00,354,"2018-06-03 01:00:00","2018-06-03 01:59:27"
21:00:00,43,"2018-06-03 02:02:59","2018-06-03 21:58:50"
22:00:00,39,"2018-06-03 22:00:20","2018-06-03 22:58:50"
23:00:00,39,"2018-06-03 23:00:20","2018-06-03 23:58:51"
