id,source,author,title,url,urlToImage,publishedAt,SourceId
260,abc-news,"ABC News","Lawyers for Chicago cop charged with murder try to move the trial",http://abcnews.go.com/US/legal-team-chicago-cop-charged-teens-murder-change/story?id=53614222,https://s.abcnews.com/images/US/jason-van-dyke-01-gty-jrl-180308_16x9_992.jpg,"2018-03-08 21:29:15",abc-news
261,abc-news,"ABC News","Chicago, surfers criticize US Steel spills settlement",http://abcnews.go.com/International/wireStory/chicago-surfers-criticize-us-steel-spills-settlement-54529146,NULL,"2018-04-17 19:00:39",abc-news
262,abc-news,"ABC News","WATCH: American Airlines opposed to Chicago airport expansion plan",http://abcnews.go.com/Business/video/american-airlines-opposed-chicago-airport-expansion-plan-53426444,https://s.abcnews.com/images/Business/180228_wls_chicago_ohare_expansion_16x9_992.jpg,"2018-02-28 23:10:04",abc-news
263,abc-news,"ABC News","Chicago River dyed green for St. Patrick's Day - ABC News",http://abcnews.go.com/US/wireStory/chicago-river-dyed-green-st-patricks-day-53819312,https://s.abcnews.com/images/US/WireAP_d3a26a070f50459fad9005de2076d37d_16x9_992.jpg,"2018-03-17 16:09:37",abc-news
264,abc-news,"ABC News","WATCH: Chicago reports drop in gun violence",http://abcnews.go.com/US/video/chicago-reports-drop-gun-violence-53443180,https://s.abcnews.com/images/US/180301_wls_chicago_crime_16x9_992.jpg,"2018-03-01 18:30:37",abc-news
265,abc-news,"ABC News","Voters support recreational pot use in Chicago",http://abcnews.go.com/US/wireStory/voters-support-recreational-pot-chicago-53897923,NULL,"2018-03-21 13:00:49",abc-news
266,abc-news,"ABC News","The Latest: Apple opens education-focused event in Chicago",https://abcnews.go.com/Technology/wireStory/latest-apple-opens-education-focused-event-chicago-54041838,https://s.abcnews.com/images/Technology/WireAP_7cde7f0a87414a88b0469bc60803b95a_16x9_992.jpg,"2018-03-27 15:08:16",abc-news
267,abc-news,NULL,"Man wearing body armor, carrying loaded gun arrested at Chicago train station - ABC News",http://abcnews.go.com/US/man-wearing-body-armor-carrying-loaded-gun-arrested/story?id%3D54009511,NULL,"2018-03-26 06:29:00",abc-news
268,abc-news,"ABC News","WATCH: Severe storms threatening to disrupt Mother's Day plans",https://abcnews.go.com/WNT/video/severe-storms-threatening-disrupt-mothers-day-plans-55109905,https://s.abcnews.com/images/WNT/180511_wn_marciano_hpMain_16x9_992.jpg,"2018-05-11 23:45:16",abc-news
269,abc-news,"ABC News","WATCH: Storm system drenching the Plains states",https://abcnews.go.com/WNT/video/storm-system-drenching-plains-states-55055179,https://s.abcnews.com/images/WNT/180509_wn_index_missing_hpMain_16x9_992.jpg,"2018-05-09 23:31:35",abc-news
270,abc-news,"ABC News","WATCH: April among the coldest on record in the Midwest",http://abcnews.go.com/WNT/video/april-coldest-record-midwest-54349938,https://s.abcnews.com/images/WNT/180409_wnt_index_endless_winter_16x9_992.jpg,"2018-04-09 23:40:22",abc-news
271,abc-news,"ABC News","Yvonne Staples of hit-making Staple Singers dies in Chicago",https://abcnews.go.com/Entertainment/wireStory/yvonne-staples-staples-singers-siblings-dies-chicago-54372176,https://s.abcnews.com/images/Entertainment/WireAP_4faab2b059b24166837d5c249b6f6edf_16x9_992.jpg,"2018-04-10 22:47:43",abc-news
272,abc-news,"ABC News","'Empire' actor acquitted of Chicago domestic violence charge",https://abcnews.go.com/Entertainment/wireStory/empire-actor-acquitted-chicago-domestic-violence-charge-54828338,https://s.abcnews.com/images/Entertainment/WireAP_d1801d378fb94a0082f5638c14d0abc5_16x9_992.jpg,"2018-04-30 16:09:11",abc-news
