id,author,title,url,urlToImage,publishedAt,SourceId
63,Bloomberg,"Kohl’s Decided to Accept Amazon Returns in Its Stores. What Happened Next Could Affect the Future of Retail",http://fortune.com/2018/05/08/kohls-amazon-returns-store-traffic/,https://fortunedotcom.files.wordpress.com/2018/05/kohls.jpg,"2018-05-08 08:42:07",fortune
64,"Emily Price","Pokémon GO Fest Returns to Chicago This July",http://fortune.com/2018/05/07/pokemon-go-fest-chicago-2018/,https://fortunedotcom.files.wordpress.com/2018/05/gettyimages-821019704.jpg,"2018-05-07 18:54:11",fortune
65,"Christina Austin","The Best Companies to Work for in Chicago",http://fortune.com/2018/05/22/best-companies-chicago/,https://fortunedotcom.files.wordpress.com/2018/05/chicago-skyline-river-workplaces.jpg,"2018-05-22 11:00:35",fortune
66,Bloomberg,"A Man in Severe Pain Curls Up on the Floor of a United Flight, But the Airline Won’t Land. Now He’s Suing",http://fortune.com/2018/05/25/united-sick-passenger-lawsuit/,https://fortunedotcom.files.wordpress.com/2018/05/united-plane.jpg,"2018-05-25 09:52:54",fortune
67,"Sarah Gray","Police Officer Fired After Dragging Passenger From a United Flight Last Year Files Lawsuit",http://fortune.com/2018/04/11/police-officer-fired-after-dragging-passenger-from-a-united-flight-last-year-files-lawsuit/,https://fortunedotcom.files.wordpress.com/2017/08/united-airlines-pilot.jpg,"2018-04-11 23:43:47",fortune
68,"Ed Frauenheim","This Employee-Owned Consulting Firm Was Just Named One of Chicago’s Best Places to Work",http://fortune.com/2018/05/25/west-monroe-best-workplaces/,https://fortunedotcom.files.wordpress.com/2018/05/gettyimages-673117017.jpg,"2018-05-25 20:01:24",fortune
69,Bloomberg,"Billionaire Ken Griffin Gives Chicago Police $10 Million to Fight Gun Violence",http://fortune.com/2018/04/11/ken-griffin-chicago-citadel/,https://fortunedotcom.files.wordpress.com/2017/05/530884400.jpg,"2018-04-11 17:14:56",fortune
70,"Christina Austin","Loyola-Chicago Has the Most Dedicated Fans of the Final Four Teams",http://fortune.com/2018/03/30/2018-final-four-march-madness-support/,https://fortunedotcom.files.wordpress.com/2018/03/gettyimages-937534178.jpg,"2018-03-31 00:34:36",fortune
71,"Don Reisinger","Apple Announces a Surprise March Press Event—At a Chicago High School",http://fortune.com/2018/03/16/apple-ipad-event-march-27-chicago/,https://fortunedotcom.files.wordpress.com/2017/11/gettyimages-692719308.jpg,"2018-03-16 14:39:02",fortune
72,"Lucinda Shen","One of the World’s Largest Stock Exchanges Is ‘Deep at Work’ With Bitcoin",http://fortune.com/2018/05/23/bitcoin-german-nyse-nasdaq-futures-stock-exchange/,https://fortunedotcom.files.wordpress.com/2018/05/bitcoin-price-german-deutsche-boerse-futures.jpg,"2018-05-23 22:09:42",fortune
73,"Chris Morris","Nobody Seems to Want to Host the 2026 World Cup",http://fortune.com/2018/03/16/nobody-seems-to-want-to-host-the-2026-world-cup/,https://fortunedotcom.files.wordpress.com/2018/03/gettyimages-841382852.jpg,"2018-03-16 16:06:32",fortune
74,"Adam Lashinsky","How the Heartland Could Compete With Silicon Valley",http://fortune.com/2018/04/20/middle-america-manufacturing-silicon-valley/,https://fortunedotcom.files.wordpress.com/2017/08/170809_hi-tech-cities-chicago-illinois.jpg,"2018-04-20 16:18:31",fortune
75,"Alan Murray, David Meyer","China Pressure, TPP Revival, Postal Service Review: CEO Daily for April 13, 2018",http://fortune.com/2018/04/13/china-tariffs-tpp-postal-service-amazon-ceo-daily-for-april-13-2018/,https://fortunedotcom.files.wordpress.com/2018/04/donald-trump-china-trade-tariffs.jpg,"2018-04-13 11:18:33",fortune
76,"Chris Morris","These U.S. Media Sites Have Gone Dark in Europe as New GDPR Rules Kick In",http://fortune.com/2018/05/25/gdpr-us-media-sites-not-accessible/,https://fortunedotcom.files.wordpress.com/2016/04/85899312.jpg,"2018-05-25 13:38:20",fortune
77,"Alana Abramson","President Trump Just Confirmed the Report He Wants to ‘Go After’ Amazon",http://fortune.com/2018/03/29/donald-trump-go-after-amazon-tweet/,?w=720,"2018-03-29 13:04:08",fortune
78,"Polina Marinova","Term Sheet — Friday, March 16",http://fortune.com/2018/03/16/term-sheet-friday-march-16/,https://fortunedotcom.files.wordpress.com/2017/01/fortune-logo.jpg,"2018-03-16 13:31:23",fortune
79,"Polina Marinova","Term Sheet — Thursday, March 15",http://fortune.com/2018/03/15/term-sheet-thursday-march-15/,https://fortunedotcom.files.wordpress.com/2017/01/fortune-logo.jpg,"2018-03-15 12:59:32",fortune
80,"Emily Price","Amazon Is Getting Closer to Picking a Site for HQ2",http://fortune.com/2018/05/16/amazon-hq2-news/,https://fortunedotcom.files.wordpress.com/2017/12/brb-12-15-17-amazon.jpg,"2018-05-16 18:55:26",fortune
81,"Fortune Editors","The Best Companies in Consulting and Professional Services",http://fortune.com/2018/04/24/best-companies-consulting-professional-services-2/,https://fortunedotcom.files.wordpress.com/2018/04/day-blink-consulting-best-workplaces-consulting-2018.jpg,"2018-04-24 11:00:30",fortune
82,Bloomberg,"J.P Morgan Is Getting Sued Over the Suicide of a Star Broker Who Was Forced to Retire",http://fortune.com/2018/04/03/jpmorgan-broker-suicide-wrongful-death/,https://fortunedotcom.files.wordpress.com/2018/04/jpmorgan.jpg,"2018-04-03 11:12:24",fortune
