id,source,date,totalArticles,totalPages,pagesRetrieved,startAt,createdAt,updatedAt
7,abc-news,2018-06-03,20384,0,0,"2018-06-03 05:57:46","2018-06-03 03:41:59","2018-06-04 03:25:51"
8,bbc-news,2018-06-03,19402,0,0,"2018-06-03 13:26:47","2018-06-03 11:03:26","2018-06-04 03:27:21"
9,bloomberg,2018-06-03,12641,0,0,"2018-06-01 18:46:54","2018-06-03 11:03:27","2018-06-04 02:42:21"
10,breitbart-news,2018-06-03,7216,0,0,"2018-06-02 09:09:10","2018-06-03 11:13:00","2018-06-04 02:43:51"
11,business-insider,2018-06-03,18113,0,0,"2018-06-02 08:00:00","2018-06-03 11:14:30","2018-06-04 02:45:22"
12,buzzfeed,2018-06-03,10299,0,0,"2018-06-02 12:06:29","2018-06-03 11:16:00","2018-06-04 02:46:51"
13,cbs-news,2018-06-03,12332,0,0,"2018-06-02 23:39:30","2018-06-03 11:17:30","2018-06-04 02:48:21"
14,cnbc,2018-06-03,12597,0,0,"2018-06-01 18:07:00","2018-06-03 11:19:00","2018-06-04 02:49:51"
15,cnn,2018-06-03,18427,0,0,"2018-06-03 09:13:28","2018-06-03 11:20:30","2018-06-04 02:51:21"
16,financial-times,2018-06-03,8082,0,0,"2018-06-01 13:53:00","2018-06-03 11:22:00","2018-06-04 02:52:51"
17,fortune,2018-06-03,3916,0,0,"2018-05-31 14:00:38","2018-06-03 11:23:30","2018-06-04 02:54:21"
18,fox-news,2018-06-03,15089,0,0,"2018-06-03 05:33:47","2018-06-03 11:25:00","2018-06-04 02:55:51"
19,mirror,2018-06-03,27684,0,0,"2018-06-03 15:19:15","2018-06-03 11:26:30","2018-06-04 02:57:21"
20,msnbc,2018-06-03,5931,0,0,"2018-06-01 18:38:00","2018-06-03 11:28:00","2018-06-04 02:58:52"
21,national-review,2018-06-03,3376,0,0,"2018-05-31 10:30:50","2018-06-03 11:29:30","2018-06-04 03:00:22"
22,nbc-news,2018-06-03,5585,0,0,"2018-06-01 20:11:00","2018-06-03 11:31:00","2018-06-04 03:01:51"
23,newsweek,2018-06-03,8858,0,0,"2018-06-01 17:40:45","2018-06-03 11:32:30","2018-06-04 03:03:22"
24,politico,2018-06-03,3896,0,0,"2018-05-31 13:47:27","2018-06-03 11:34:00","2018-06-04 03:04:51"
25,the-economist,2018-06-03,1460,0,0,"2018-05-28 12:31:29","2018-06-03 11:35:30","2018-06-04 03:06:21"
26,the-guardian-uk,2018-06-03,21964,0,0,"2018-06-03 13:19:12","2018-06-03 11:37:00","2018-06-04 03:07:52"
27,the-hill,2018-06-03,10807,0,0,"2018-06-02 15:06:35","2018-06-03 11:38:30","2018-06-04 03:09:22"
28,the-huffington-post,2018-06-03,6670,0,0,"2018-06-01 16:35:43","2018-06-03 11:40:00","2018-06-04 03:10:52"
29,the-jerusalem-post,2018-06-03,7161,0,0,"2018-06-02 13:10:17","2018-06-03 11:41:30","2018-06-04 03:12:21"
30,the-new-york-times,2018-06-03,12282,0,0,"2018-06-02 19:00:47","2018-06-03 11:43:00","2018-06-04 03:13:51"
31,the-verge,2018-06-03,2900,0,0,"2018-05-30 22:02:53","2018-06-03 11:44:30","2018-06-04 03:15:22"
32,the-wall-street-journal,2018-06-03,8949,0,0,"2018-06-01 16:52:02","2018-06-03 11:46:00","2018-06-04 03:16:52"
33,the-washington-post,2018-06-03,16805,0,0,"2018-06-02 22:49:44","2018-06-03 11:47:30","2018-06-04 03:18:22"
34,the-washington-times,2018-06-03,277,0,0,"2018-04-22 13:55:43","2018-06-03 11:49:00","2018-06-04 03:19:52"
35,time,2018-06-03,4320,0,0,"2018-05-31 17:38:34","2018-06-03 11:50:30","2018-06-04 03:21:22"
36,usa-today,2018-06-03,35023,0,0,"2018-06-03 20:03:14","2018-06-03 11:52:00","2018-06-04 03:22:52"
37,vice-news,2018-06-03,6607,0,0,"2018-06-01 11:47:40","2018-06-03 11:53:30","2018-06-04 03:24:22"
38,the-economist,2018-06-04,1462,0,0,"2018-05-29 15:19:34","2018-06-04 00:00:21","2018-06-04 16:20:24"
39,the-guardian-uk,2018-06-04,22161,0,0,"2018-06-04 11:29:41","2018-06-04 00:01:51","2018-06-04 18:02:15"
40,the-hill,2018-06-04,10852,0,0,"2018-06-03 12:00:06","2018-06-04 00:03:21","2018-06-04 16:23:24"
41,the-huffington-post,2018-06-04,6706,0,0,"2018-06-01 21:55:00","2018-06-04 00:04:51","2018-06-04 16:24:54"
42,the-jerusalem-post,2018-06-04,7222,0,0,"2018-06-03 11:52:14","2018-06-04 00:06:21","2018-06-04 16:26:24"
43,the-new-york-times,2018-06-04,12355,0,0,"2018-06-03 20:04:28","2018-06-04 00:07:51","2018-06-04 16:27:54"
44,the-verge,2018-06-04,2919,0,0,"2018-05-31 14:50:31","2018-06-04 00:09:21","2018-06-04 16:29:24"
45,the-wall-street-journal,2018-06-04,9008,0,0,"2018-06-02 15:57:20","2018-06-04 00:10:51","2018-06-04 18:02:17"
46,the-washington-post,2018-06-04,16940,0,0,"2018-06-04 08:00:16","2018-06-04 00:12:21","2018-06-04 16:35:24"
47,the-washington-times,2018-06-04,278,0,0,"2018-04-22 16:16:45","2018-06-04 00:13:51","2018-06-04 16:38:24"
48,time,2018-06-04,4356,0,0,"2018-06-01 07:49:22","2018-06-04 00:15:21","2018-06-04 18:09:19"
49,usa-today,2018-06-04,35209,0,0,"2018-06-04 11:39:07","2018-06-04 00:16:51","2018-06-04 16:41:24"
50,vice-news,2018-06-04,6643,0,0,"2018-06-01 15:15:00","2018-06-04 00:18:21","2018-06-04 16:42:54"
51,abc-news,2018-06-04,20534,0,0,"2018-06-04 09:17:22","2018-06-04 00:19:51","2018-06-04 17:48:55"
52,bbc-news,2018-06-04,19553,0,0,"2018-06-04 10:04:39","2018-06-04 00:21:21","2018-06-04 17:48:58"
53,bloomberg,2018-06-04,12754,0,0,"2018-06-04 03:39:23","2018-06-04 00:22:51","2018-06-04 17:49:00"
54,breitbart-news,2018-06-04,7247,0,0,"2018-06-02 20:11:30","2018-06-04 00:24:21","2018-06-04 18:09:17"
55,business-insider,2018-06-04,18227,0,0,"2018-06-04 08:36:27","2018-06-04 00:25:51","2018-06-04 17:02:13"
56,buzzfeed,2018-06-04,10339,0,0,"2018-06-03 01:46:03","2018-06-04 00:27:21","2018-06-04 17:03:43"
57,cbs-news,2018-06-04,12402,0,0,"2018-06-03 18:58:07","2018-06-04 00:28:51","2018-06-04 17:05:13"
58,cnbc,2018-06-04,12708,0,0,"2018-06-04 05:49:00","2018-06-04 00:30:21","2018-06-04 17:06:43"
59,cnn,2018-06-04,18643,0,0,"2018-06-04 09:23:44","2018-06-04 00:31:51","2018-06-04 17:08:13"
60,financial-times,2018-06-04,8164,0,0,"2018-06-03 16:01:30","2018-06-04 00:33:21","2018-06-04 17:09:43"
61,fortune,2018-06-04,3946,0,0,"2018-05-31 21:00:16","2018-06-04 00:34:51","2018-06-04 17:11:13"
62,fox-news,2018-06-04,15182,0,0,"2018-06-03 23:30:00","2018-06-04 00:36:21","2018-06-04 17:12:43"
63,mirror,2018-06-04,27889,0,0,"2018-06-04 11:34:52","2018-06-04 00:37:51","2018-06-04 17:14:13"
64,msnbc,2018-06-04,5952,0,0,"2018-06-01 23:15:44","2018-06-04 00:39:21","2018-06-04 17:15:43"
65,national-review,2018-06-04,3413,0,0,"2018-06-01 10:30:54","2018-06-04 00:40:51","2018-06-04 17:17:13"
66,nbc-news,2018-06-04,5616,0,0,"2018-06-02 09:59:00","2018-06-04 00:42:21","2018-06-04 17:18:43"
67,newsweek,2018-06-04,8923,0,0,"2018-06-02 19:44:29","2018-06-04 00:43:51","2018-06-04 17:20:13"
68,politico,2018-06-04,3930,0,0,"2018-06-01 09:15:02","2018-06-04 00:45:21","2018-06-04 16:18:54"
